type;number of algorithm;size;time;
почти отсортирован_1;2;300;1439507;
почти отсортирован_1;3;300;9788;
почти отсортирован_1;4;300;56302;
почти отсортирован_1;5;300;127930;
почти отсортирован_1;6;300;8117;
почти отсортирован_1;7;300;496282;
почти отсортирован_1;8;300;2632143;
почти отсортирован_1;9;300;57162;
почти отсортирован_1;10;300;408183;
почти отсортирован_1;11;300;31445;
почти отсортирован_1;12;300;47575;
обратно отсортирован_1;0;50;20134;
обратно отсортирован_1;1;50;36791;
обратно отсортирован_1;2;50;484;
обратно отсортирован_1;3;50;45583;
обратно отсортирован_1;4;50;7901;
обратно отсортирован_1;5;50;10978;
обратно отсортирован_1;6;50;27370;
обратно отсортирован_1;7;50;11980;
обратно отсортирован_1;8;50;26782;
обратно отсортирован_1;9;50;14224;
обратно отсортирован_1;10;50;13714;
обратно отсортирован_1;11;50;5199;
обратно отсортирован_1;12;50;5873;
обратно отсортирован_1;0;100;86593;
обратно отсортирован_1;1;100;156606;
обратно отсортирован_1;2;100;1058;
обратно отсортирован_1;3;100;259060;
обратно отсортирован_1;4;100;16406;
обратно отсортирован_1;5;100;27129;
обратно отсортирован_1;6;100;82429;
обратно отсортирован_1;7;100;25650;
обратно отсортирован_1;8;100;100321;
обратно отсортирован_1;9;100;22356;
обратно отсортирован_1;10;100;58039;
обратно отсортирован_1;11;100;12611;
обратно отсортирован_1;12;100;14530;
обратно отсортирован_1;0;150;172882;
обратно отсортирован_1;1;150;361610;
обратно отсортирован_1;2;150;1707;
обратно отсортирован_1;3;150;551491;
обратно отсортирован_1;4;150;22519;
обратно отсортирован_1;5;150;61794;
обратно отсортирован_1;6;150;200916;
обратно отсортирован_1;7;150;53014;
обратно отсортирован_1;8;150;241890;
обратно отсортирован_1;9;150;36064;
обратно отсортирован_1;10;150;115504;
обратно отсортирован_1;11;150;19923;
обратно отсортирован_1;12;150;27276;
обратно отсортирован_1;0;200;317221;
обратно отсортирован_1;1;200;925868;
обратно отсортирован_1;2;200;1977;
обратно отсортирован_1;3;200;914426;
обратно отсортирован_1;4;200;30838;
обратно отсортирован_1;5;200;73996;
обратно отсортирован_1;6;200;363994;
обратно отсортирован_1;7;200;155447;
обратно отсортирован_1;8;200;416552;
обратно отсортирован_1;9;200;43876;
обратно отсортирован_1;10;200;184736;
обратно отсортирован_1;11;200;23334;
обратно отсортирован_1;12;200;28372;
обратно отсортирован_1;0;250;402451;
обратно отсортирован_1;1;250;1031910;
обратно отсортирован_1;2;250;2411;
обратно отсортирован_1;3;250;1290231;
обратно отсортирован_1;4;250;34482;
обратно отсортирован_1;5;250;127984;
обратно отсортирован_1;6;250;670004;
обратно отсортирован_1;7;250;77104;
обратно отсортирован_1;8;250;560654;
обратно отсортирован_1;9;250;50047;
обратно отсортирован_1;10;250;350669;
обратно отсортирован_1;11;250;50295;
обратно отсортирован_1;12;250;46519;
обратно отсортирован_1;0;300;666047;
обратно отсортирован_1;1;300;1422804;
обратно отсортирован_1;2;300;2950;
обратно отсортирован_1;3;300;1840570;
обратно отсортирован_1;4;300;43912;
обратно отсортирован_1;5;300;122864;
обратно отсортирован_1;6;300;745893;
обратно отсортирован_1;7;300;135104;
обратно отсортирован_1;8;300;959615;
обратно отсортирован_1;9;300;60473;
обратно отсортирован_1;10;300;471123;
обратно отсортирован_1;11;300;48066;
обратно отсортирован_1;12;300;63325;
рандом от 0 до 5_2;0;100;42829;
рандом от 0 до 5_2;1;100;119849;
рандом от 0 до 5_2;2;100;119486;
рандом от 0 до 5_2;3;100;128643;
рандом от 0 до 5_2;4;100;13918;
рандом от 0 до 5_2;5;100;26966;
рандом от 0 до 5_2;6;100;40899;
рандом от 0 до 5_2;7;100;26213;
рандом от 0 до 5_2;8;100;12695;
рандом от 0 до 5_2;9;100;12254;
рандом от 0 до 5_2;10;100;54236;
рандом от 0 до 5_2;11;100;13377;
рандом от 0 до 5_2;12;100;14553;
рандом от 0 до 5_2;0;200;163309;
рандом от 0 до 5_2;1;200;573004;
рандом от 0 до 5_2;2;200;464965;
рандом от 0 до 5_2;3;200;515387;
рандом от 0 до 5_2;4;200;26631;
рандом от 0 до 5_2;5;200;63233;
рандом от 0 до 5_2;6;200;139691;
рандом от 0 до 5_2;7;200;69311;
рандом от 0 до 5_2;8;200;40445;
рандом от 0 до 5_2;9;200;21891;
рандом от 0 до 5_2;10;200;180854;
рандом от 0 до 5_2;11;200;27806;
рандом от 0 до 5_2;12;200;33502;
рандом от 0 до 5_2;0;300;353734;
рандом от 0 до 5_2;1;300;1139789;
рандом от 0 до 5_2;2;300;1116931;
рандом от 0 до 5_2;3;300;1203237;
рандом от 0 до 5_2;4;300;42200;
рандом от 0 до 5_2;5;300;113836;
рандом от 0 до 5_2;6;300;427883;
рандом от 0 до 5_2;7;300;138834;
рандом от 0 до 5_2;8;300;92692;
рандом от 0 до 5_2;9;300;36023;
рандом от 0 до 5_2;10;300;419986;
рандом от 0 до 5_2;11;300;46696;
рандом от 0 до 5_2;12;300;61911;
рандом от 0 до 5_2;0;400;612854;
рандом от 0 до 5_2;1;400;1991166;
рандом от 0 до 5_2;2;400;2402392;
рандом от 0 до 5_2;3;400;2242334;
рандом от 0 до 5_2;4;400;61003;
рандом от 0 до 5_2;5;400;167045;
рандом от 0 до 5_2;6;400;566451;
рандом от 0 до 5_2;7;400;161844;
рандом от 0 до 5_2;8;400;157395;
рандом от 0 до 5_2;9;400;41148;
рандом от 0 до 5_2;10;400;888048;
рандом от 0 до 5_2;11;400;74105;
рандом от 0 до 5_2;12;400;87946;
рандом от 0 до 5_2;0;500;1041428;
рандом от 0 до 5_2;1;500;2954080;
рандом от 0 до 5_2;2;500;2652695;
рандом от 0 до 5_2;3;500;3070004;
рандом от 0 до 5_2;4;500;58310;
рандом от 0 до 5_2;5;500;175595;
рандом от 0 до 5_2;6;500;843727;
рандом от 0 до 5_2;7;500;192625;
рандом от 0 до 5_2;8;500;178485;
рандом от 0 до 5_2;9;500;55572;
рандом от 0 до 5_2;10;500;922474;
рандом от 0 до 5_2;11;500;75786;
