type;number of algorithm;size;operations;
рандом от 0 до 5_2;0;100;14557;
рандом от 0 до 5_2;1;100;24750;
рандом от 0 до 5_2;2;100;29643;
рандом от 0 до 5_2;3;100;43418;
рандом от 0 до 5_2;4;100;1927;
рандом от 0 до 5_2;5;100;10227;
рандом от 0 до 5_2;6;100;11194;
рандом от 0 до 5_2;7;100;9375;
рандом от 0 до 5_2;8;100;3369;
рандом от 0 до 5_2;9;100;2332;
рандом от 0 до 5_2;10;100;15286;
рандом от 0 до 5_2;11;100;2744;
рандом от 0 до 5_2;12;100;2950;
рандом от 0 до 5_2;0;200;51372;
рандом от 0 до 5_2;1;200;99500;
рандом от 0 до 5_2;2;200;120918;
рандом от 0 до 5_2;3;200;176626;
рандом от 0 до 5_2;4;200;3827;
рандом от 0 до 5_2;5;200;23177;
рандом от 0 до 5_2;6;200;40514;
рандом от 0 до 5_2;7;200;20979;
рандом от 0 до 5_2;8;200;10241;
рандом от 0 до 5_2;9;200;3632;
рандом от 0 до 5_2;10;200;60574;
рандом от 0 до 5_2;11;200;6328;
рандом от 0 до 5_2;12;200;7185;
рандом от 0 до 5_2;0;300;112190;
рандом от 0 до 5_2;1;300;224250;
рандом от 0 до 5_2;2;300;275402;
рандом от 0 до 5_2;3;300;391959;
рандом от 0 до 5_2;4;300;5727;
рандом от 0 до 5_2;5;300;37428;
рандом от 0 до 5_2;6;300;88929;
рандом от 0 до 5_2;7;300;33456;
рандом от 0 до 5_2;8;300;21011;
рандом от 0 до 5_2;9;300;4932;
рандом от 0 до 5_2;10;300;135835;
рандом от 0 до 5_2;11;300;9932;
рандом от 0 до 5_2;12;300;11849;
рандом от 0 до 5_2;0;400;204101;
рандом от 0 до 5_2;1;400;399000;
рандом от 0 до 5_2;2;400;485422;
рандом от 0 до 5_2;3;400;701776;
рандом от 0 до 5_2;4;400;7627;
рандом от 0 до 5_2;5;400;52977;
рандом от 0 до 5_2;6;400;160784;
рандом от 0 до 5_2;7;400;46453;
рандом от 0 до 5_2;8;400;33923;
рандом от 0 до 5_2;9;400;6232;
рандом от 0 до 5_2;10;400;241098;
рандом от 0 до 5_2;11;400;14159;
рандом от 0 до 5_2;12;400;16649;
рандом от 0 до 5_2;0;500;326476;
рандом от 0 до 5_2;1;500;623750;
рандом от 0 до 5_2;2;500;747512;
рандом от 0 до 5_2;3;500;1115294;
рандом от 0 до 5_2;4;500;9527;
рандом от 0 до 5_2;5;500;67503;
рандом от 0 до 5_2;6;500;263334;
рандом от 0 до 5_2;7;500;59436;
рандом от 0 до 5_2;8;500;50779;
рандом от 0 до 5_2;9;500;7532;
рандом от 0 до 5_2;10;500;376408;
рандом от 0 до 5_2;11;500;18311;
рандом от 0 до 5_2;12;500;20377;
рандом от 0 до 5_2;0;600;457444;
рандом от 0 до 5_2;1;600;898500;
рандом от 0 до 5_2;2;600;1078660;
рандом от 0 до 5_2;3;600;1614595;
рандом от 0 до 5_2;4;600;11427;
рандом от 0 до 5_2;5;600;83586;
рандом от 0 до 5_2;6;600;372309;
рандом от 0 до 5_2;7;600;73544;
рандом от 0 до 5_2;8;600;71717;
рандом от 0 до 5_2;9;600;8832;
рандом от 0 до 5_2;10;600;541681;
рандом от 0 до 5_2;11;600;22759;
рандом от 0 до 5_2;12;600;27740;
рандом от 0 до 5_2;0;700;617262;
рандом от 0 до 5_2;1;700;1223250;
рандом от 0 до 5_2;2;700;1472443;
рандом от 0 до 5_2;3;700;2178339;
рандом от 0 до 5_2;4;700;13327;
рандом от 0 до 5_2;5;700;100646;
рандом от 0 до 5_2;6;700;507269;
рандом от 0 до 5_2;7;700;87687;
рандом от 0 до 5_2;8;700;95339;
рандом от 0 до 5_2;9;700;10132;
рандом от 0 до 5_2;10;700;736953;
рандом от 0 до 5_2;11;700;26935;
рандом от 0 до 5_2;12;700;31909;
рандом от 0 до 5_2;0;800;793282;
рандом от 0 до 5_2;1;800;1598000;
рандом от 0 до 5_2;2;800;1922340;
рандом от 0 до 5_2;3;800;2846885;
рандом от 0 до 5_2;4;800;15227;
рандом от 0 до 5_2;5;800;118264;
рандом от 0 до 5_2;6;800;656139;
рандом от 0 до 5_2;7;800;101825;
рандом от 0 до 5_2;8;800;121823;
рандом от 0 до 5_2;9;800;11432;
рандом от 0 до 5_2;10;800;962219;
рандом от 0 до 5_2;11;800;31514;
рандом от 0 до 5_2;12;800;38495;
рандом от 0 до 5_2;0;900;1013494;
рандом от 0 до 5_2;1;900;2022750;
рандом от 0 до 5_2;2;900;2405842;
рандом от 0 до 5_2;3;900;3637233;
рандом от 0 до 5_2;4;900;17127;
рандом от 0 до 5_2;5;900;135188;
рандом от 0 до 5_2;6;900;846319;
рандом от 0 до 5_2;7;900;116037;
рандом от 0 до 5_2;8;900;151885;
рандом от 0 до 5_2;9;900;12732;
рандом от 0 до 5_2;10;900;1217500;
рандом от 0 до 5_2;11;900;36054;
рандом от 0 до 5_2;12;900;42395;
рандом от 0 до 5_2;0;1000;1238559;
рандом от 0 до 5_2;1;1000;2497500;
рандом от 0 до 5_2;2;1000;2993053;
рандом от 0 до 5_2;3;1000;4485177;
рандом от 0 до 5_2;4;1000;19027;
рандом от 0 до 5_2;5;1000;150874;
рандом от 0 до 5_2;6;1000;1036999;
рандом от 0 до 5_2;7;1000;130091;
рандом от 0 до 5_2;8;1000;183571;
рандом от 0 до 5_2;9;1000;14032;
рандом от 0 до 5_2;10;1000;1502789;
рандом от 0 до 5_2;11;1000;40658;
рандом от 0 до 5_2;12;1000;45811;
рандом от 0 до 5_2;0;1100;1474101;
рандом от 0 до 5_2;1;1100;3022250;
рандом от 0 до 5_2;2;1100;3635458;
рандом от 0 до 5_2;3;1100;5365762;
рандом от 0 до 5_2;4;1100;20927;
рандом от 0 до 5_2;5;1100;168738;
рандом от 0 до 5_2;6;1100;1234274;
рандом от 0 до 5_2;7;1100;145064;
рандом от 0 до 5_2;8;1100;219971;
рандом от 0 до 5_2;9;1100;15332;
рандом от 0 до 5_2;10;1100;1818096;
рандом от 0 до 5_2;11;1100;45398;
рандом от 0 до 5_2;12;1100;56468;
рандом от 0 до 5_2;0;1200;1759656;
рандом от 0 до 5_2;1;1200;3597000;
рандом от 0 до 5_2;2;1200;4326297;
рандом от 0 до 5_2;3;1200;6453812;
рандом от 0 до 5_2;4;1200;22827;
рандом от 0 до 5_2;5;1200;187130;
рандом от 0 до 5_2;6;1200;1465184;
рандом от 0 до 5_2;7;1200;160499;
рандом от 0 до 5_2;8;1200;264051;
рандом от 0 до 5_2;9;1200;16632;
рандом от 0 до 5_2;10;1200;2163379;
рандом от 0 до 5_2;11;1200;50302;
рандом от 0 до 5_2;12;1200;62321;
рандом от 0 до 5_2;0;1300;2061611;
рандом от 0 до 5_2;1;1300;4221750;
рандом от 0 до 5_2;2;1300;5092985;
рандом от 0 до 5_2;3;1300;7528375;
рандом от 0 до 5_2;4;1300;24727;
рандом от 0 до 5_2;5;1300;206409;
рандом от 0 до 5_2;6;1300;1709429;
рандом от 0 до 5_2;7;1300;175852;
рандом от 0 до 5_2;8;1300;308439;
рандом от 0 до 5_2;9;1300;17932;
рандом от 0 до 5_2;10;1300;2538612;
рандом от 0 до 5_2;11;1300;55150;
рандом от 0 до 5_2;12;1300;66890;
рандом от 0 до 5_2;0;1400;2366017;
