Number of substitution;Size of text;Size of alphabet;Size of pattern;Type of algorithm;Time(ns)
2;10000;4;2600;Алгоритм КМП с применением стандартных граней;184601
2;10000;4;2600;Алгоритм КМП с применением уточненных граней;233520
2;10000;4;2600;Поиск с применением автомата КМП;258963
2;10000;4;2700;Наивный алгоритм;106265
2;10000;4;2700;Алгоритм КМП с применением стандартных граней;177316
2;10000;4;2700;Алгоритм КМП с применением уточненных граней;194264
2;10000;4;2700;Поиск с применением автомата КМП;205415
2;10000;4;2800;Наивный алгоритм;102165
2;10000;4;2800;Алгоритм КМП с применением стандартных граней;166898
2;10000;4;2800;Алгоритм КМП с применением уточненных граней;174140
2;10000;4;2800;Поиск с применением автомата КМП;249496
2;10000;4;2900;Наивный алгоритм;188267
2;10000;4;2900;Алгоритм КМП с применением стандартных граней;177610
2;10000;4;2900;Алгоритм КМП с применением уточненных граней;187076
2;10000;4;2900;Поиск с применением автомата КМП;223860
2;10000;4;3000;Наивный алгоритм;100696
2;10000;4;3000;Алгоритм КМП с применением стандартных граней;169541
2;10000;4;3000;Алгоритм КМП с применением уточненных граней;180102
2;10000;4;3000;Поиск с применением автомата КМП;223847
2;100000;2;100;Наивный алгоритм;2009681
2;100000;2;100;Алгоритм КМП с применением стандартных граней;2171732
2;100000;2;100;Алгоритм КМП с применением уточненных граней;2105799
2;100000;2;100;Поиск с применением автомата КМП;1056247
2;100000;2;200;Наивный алгоритм;1896488
2;100000;2;200;Алгоритм КМП с применением стандартных граней;2236355
2;100000;2;200;Алгоритм КМП с применением уточненных граней;2064234
2;100000;2;200;Поиск с применением автомата КМП;1236707
2;100000;2;300;Наивный алгоритм;1881244
2;100000;2;300;Алгоритм КМП с применением стандартных граней;2234375
2;100000;2;300;Алгоритм КМП с применением уточненных граней;2266607
2;100000;2;300;Поиск с применением автомата КМП;1367857
2;100000;2;400;Наивный алгоритм;1838316
2;100000;2;400;Алгоритм КМП с применением стандартных граней;2189530
2;100000;2;400;Алгоритм КМП с применением уточненных граней;2061727
2;100000;2;400;Поиск с применением автомата КМП;1123728
2;100000;2;500;Наивный алгоритм;1864871
2;100000;2;500;Алгоритм КМП с применением стандартных граней;2305542
2;100000;2;500;Алгоритм КМП с применением уточненных граней;2217465
2;100000;2;500;Поиск с применением автомата КМП;1382857
2;100000;2;600;Наивный алгоритм;1865650
2;100000;2;600;Алгоритм КМП с применением стандартных граней;2240921
2;100000;2;600;Алгоритм КМП с применением уточненных граней;2033086
2;100000;2;600;Поиск с применением автомата КМП;1136442
2;100000;2;700;Наивный алгоритм;1844209
2;100000;2;700;Алгоритм КМП с применением стандартных граней;1999514
2;100000;2;700;Алгоритм КМП с применением уточненных граней;1963495
2;100000;2;700;Поиск с применением автомата КМП;1243007
2;100000;2;800;Наивный алгоритм;1932097
2;100000;2;800;Алгоритм КМП с применением стандартных граней;2186766
2;100000;2;800;Алгоритм КМП с применением уточненных граней;2206996
2;100000;2;800;Поиск с применением автомата КМП;1175036
2;100000;2;900;Наивный алгоритм;1889241
2;100000;2;900;Алгоритм КМП с применением стандартных граней;2190449
2;100000;2;900;Алгоритм КМП с применением уточненных граней;2213174
2;100000;2;900;Поиск с применением автомата КМП;1231930
2;100000;2;1000;Наивный алгоритм;1874230
2;100000;2;1000;Алгоритм КМП с применением стандартных граней;2132544
2;100000;2;1000;Алгоритм КМП с применением уточненных граней;2160431
2;100000;2;1000;Поиск с применением автомата КМП;1104738
2;100000;2;1100;Наивный алгоритм;1950648
2;100000;2;1100;Алгоритм КМП с применением стандартных граней;2040985
2;100000;2;1100;Алгоритм КМП с применением уточненных граней;2044118
2;100000;2;1100;Поиск с применением автомата КМП;1058402
2;100000;2;1200;Наивный алгоритм;1892141
2;100000;2;1200;Алгоритм КМП с применением стандартных граней;2076134
2;100000;2;1200;Алгоритм КМП с применением уточненных граней;2156604
2;100000;2;1200;Поиск с применением автомата КМП;1049983
2;100000;2;1300;Наивный алгоритм;1925642
2;100000;2;1300;Алгоритм КМП с применением стандартных граней;2063892
2;100000;2;1300;Алгоритм КМП с применением уточненных граней;1994301
2;100000;2;1300;Поиск с применением автомата КМП;1154520
2;100000;2;1400;Наивный алгоритм;1842004
2;100000;2;1400;Алгоритм КМП с применением стандартных граней;1938588
2;100000;2;1400;Алгоритм КМП с применением уточненных граней;1915097
2;100000;2;1400;Поиск с применением автомата КМП;1244367
2;100000;2;1500;Наивный алгоритм;1886087
2;100000;2;1500;Алгоритм КМП с применением стандартных граней;2136493
2;100000;2;1500;Алгоритм КМП с применением уточненных граней;1986579
2;100000;2;1500;Поиск с применением автомата КМП;1130685
2;100000;2;1600;Наивный алгоритм;1866860
2;100000;2;1600;Алгоритм КМП с применением стандартных граней;2037310
2;100000;2;1600;Алгоритм КМП с применением уточненных граней;1950744
2;100000;2;1600;Поиск с применением автомата КМП;1196852
2;100000;2;1700;Наивный алгоритм;1873255
2;100000;2;1700;Алгоритм КМП с применением стандартных граней;2153469
2;100000;2;1700;Алгоритм КМП с применением уточненных граней;2003583
2;100000;2;1700;Поиск с применением автомата КМП;1123226
2;100000;2;1800;Наивный алгоритм;1809104
2;100000;2;1800;Алгоритм КМП с применением стандартных граней;2086101
2;100000;2;1800;Алгоритм КМП с применением уточненных граней;2216075
2;100000;2;1800;Поиск с применением автомата КМП;1107544
2;100000;2;1900;Наивный алгоритм;1946136
2;100000;2;1900;Алгоритм КМП с применением стандартных граней;2341652
2;100000;2;1900;Алгоритм КМП с применением уточненных граней;2072418
2;100000;2;1900;Поиск с применением автомата КМП;1350449
2;100000;2;2000;Наивный алгоритм;1854407
2;100000;2;2000;Алгоритм КМП с применением стандартных граней;2220019
2;100000;2;2000;Алгоритм КМП с применением уточненных граней;2081008
2;100000;2;2000;Поиск с применением автомата КМП;1169971
2;100000;2;2100;Наивный алгоритм;1833812
2;100000;2;2100;Алгоритм КМП с применением стандартных граней;1979584
2;100000;2;2100;Алгоритм КМП с применением уточненных граней;1950062
2;100000;2;2100;Поиск с применением автомата КМП;1294887
2;100000;2;2200;Наивный алгоритм;1870726
2;100000;2;2200;Алгоритм КМП с применением стандартных граней;1961517
2;100000;2;2200;Алгоритм КМП с применением уточненных граней;1993193
2;100000;2;2200;Поиск с применением автомата КМП;1183145
2;100000;2;2300;Наивный алгоритм;1787980
2;100000;2;2300;Алгоритм КМП с применением стандартных граней;1974394
2;100000;2;2300;Алгоритм КМП с применением уточненных граней;1963269
2;100000;2;2300;Поиск с применением автомата КМП;1198448
2;100000;2;2400;Наивный алгоритм;1864510
2;100000;2;2400;Алгоритм КМП с применением стандартных граней;2041658
2;100000;2;2400;Алгоритм КМП с применением уточненных граней;1998816
2;100000;2;2400;Поиск с применением автомата КМП;1130329
2;100000;2;2500;Наивный алгоритм;1787286
2;100000;2;2500;Алгоритм КМП с применением стандартных граней;2037277
2;100000;2;2500;Алгоритм КМП с применением уточненных граней;2046054
2;100000;2;2500;Поиск с применением автомата КМП;1203311
2;100000;2;2600;Наивный алгоритм;1806169
2;100000;2;2600;Алгоритм КМП с применением стандартных граней;2018293
2;100000;2;2600;Алгоритм КМП с применением уточненных граней;1952050
2;100000;2;2600;Поиск с применением автомата КМП;1316636
2;100000;2;2700;Наивный алгоритм;1835224
2;100000;2;2700;Алгоритм КМП с применением стандартных граней;2130617
2;100000;2;2700;Алгоритм КМП с применением уточненных граней;2028274
2;100000;2;2700;Поиск с применением автомата КМП;1269727
2;100000;2;2800;Наивный алгоритм;1901254
2;100000;2;2800;Алгоритм КМП с применением стандартных граней;2168709
2;100000;2;2800;Алгоритм КМП с применением уточненных граней;2268288
2;100000;2;2800;Поиск с применением автомата КМП;1194645
2;100000;2;2900;Наивный алгоритм;1944084
2;100000;2;2900;Алгоритм КМП с применением стандартных граней;1974297
2;100000;2;2900;Алгоритм КМП с применением уточненных граней;1899266
2;100000;2;2900;Поиск с применением автомата КМП;1155025
2;100000;2;3000;Наивный алгоритм;1859602
2;100000;2;3000;Алгоритм КМП с применением стандартных граней;2140512
2;100000;2;3000;Алгоритм КМП с применением уточненных граней;2184797
2;100000;2;3000;Поиск с применением автомата КМП;1181436
2;100000;4;100;Наивный алгоритм;1133981
2;100000;4;100;Алгоритм КМП с применением стандартных граней;1934041
2;100000;4;100;Алгоритм КМП с применением уточненных граней;1860147
2;100000;4;100;Поиск с применением автомата КМП;1007777
2;100000;4;200;Наивный алгоритм;1335197
2;100000;4;200;Алгоритм КМП с применением стандартных граней;2168870
2;100000;4;200;Алгоритм КМП с применением уточненных граней;1955737
2;100000;4;200;Поиск с применением автомата КМП;1103279
2;100000;4;300;Наивный алгоритм;1235432
2;100000;4;300;Алгоритм КМП с применением стандартных граней;2061429
2;100000;4;300;Алгоритм КМП с применением уточненных граней;2095783
2;100000;4;300;Поиск с применением автомата КМП;1119554
2;100000;4;400;Наивный алгоритм;1334720
2;100000;4;400;Алгоритм КМП с применением стандартных граней;2167642
2;100000;4;400;Алгоритм КМП с применением уточненных граней;2135739
2;100000;4;400;Поиск с применением автомата КМП;1020926
2;100000;4;500;Наивный алгоритм;1285400
2;100000;4;500;Алгоритм КМП с применением стандартных граней;1975591
2;100000;4;500;Алгоритм КМП с применением уточненных граней;1968606
2;100000;4;500;Поиск с применением автомата КМП;1038336
2;100000;4;600;Наивный алгоритм;1225548
2;100000;4;600;Алгоритм КМП с применением стандартных граней;1889088
2;100000;4;600;Алгоритм КМП с применением уточненных граней;2120078
2;100000;4;600;Поиск с применением автомата КМП;1129160
2;100000;4;700;Наивный алгоритм;1245303
2;100000;4;700;Алгоритм КМП с применением стандартных граней;1852824
2;100000;4;700;Алгоритм КМП с применением уточненных граней;1866774
2;100000;4;700;Поиск с применением автомата КМП;1057860
2;100000;4;800;Наивный алгоритм;1273778
2;100000;4;800;Алгоритм КМП с применением стандартных граней;1905646
2;100000;4;800;Алгоритм КМП с применением уточненных граней;1868533
2;100000;4;800;Поиск с применением автомата КМП;1102895
2;100000;4;900;Наивный алгоритм;1325062
2;100000;4;900;Алгоритм КМП с применением стандартных граней;2062341
2;100000;4;900;Алгоритм КМП с применением уточненных граней;2057138
2;100000;4;900;Поиск с применением автомата КМП;1075009
2;100000;4;1000;Наивный алгоритм;1334409
2;100000;4;1000;Алгоритм КМП с применением стандартных граней;1988132
2;100000;4;1000;Алгоритм КМП с применением уточненных граней;2199732
2;100000;4;1000;Поиск с применением автомата КМП;1123354
2;100000;4;1100;Наивный алгоритм;1273905
2;100000;4;1100;Алгоритм КМП с применением стандартных граней;2102451
2;100000;4;1100;Алгоритм КМП с применением уточненных граней;2019509
2;100000;4;1100;Поиск с применением автомата КМП;1172487
2;100000;4;1200;Наивный алгоритм;1171904
2;100000;4;1200;Алгоритм КМП с применением стандартных граней;2060171
2;100000;4;1200;Алгоритм КМП с применением уточненных граней;1942606
2;100000;4;1200;Поиск с применением автомата КМП;1051687
2;100000;4;1300;Наивный алгоритм;1224607
2;100000;4;1300;Алгоритм КМП с применением стандартных граней;1842252
2;100000;4;1300;Алгоритм КМП с применением уточненных граней;1910784
2;100000;4;1300;Поиск с применением автомата КМП;1053008
2;100000;4;1400;Наивный алгоритм;1304246
2;100000;4;1400;Алгоритм КМП с применением стандартных граней;1845833
2;100000;4;1400;Алгоритм КМП с применением уточненных граней;2160348
2;100000;4;1400;Поиск с применением автомата КМП;1091030
2;100000;4;1500;Наивный алгоритм;1277731
2;100000;4;1500;Алгоритм КМП с применением стандартных граней;1961416
2;100000;4;1500;Алгоритм КМП с применением уточненных граней;2012765
2;100000;4;1500;Поиск с применением автомата КМП;1082368
2;100000;4;1600;Наивный алгоритм;1282328
2;100000;4;1600;Алгоритм КМП с применением стандартных граней;1978009
2;100000;4;1600;Алгоритм КМП с применением уточненных граней;1940923
2;100000;4;1600;Поиск с применением автомата КМП;1069483
2;100000;4;1700;Наивный алгоритм;1249351
2;100000;4;1700;Алгоритм КМП с применением стандартных граней;1831942
2;100000;4;1700;Алгоритм КМП с применением уточненных граней;1901438
2;100000;4;1700;Поиск с применением автомата КМП;1150088
2;100000;4;1800;Наивный алгоритм;1320238
2;100000;4;1800;Алгоритм КМП с применением стандартных граней;2024819
2;100000;4;1800;Алгоритм КМП с применением уточненных граней;2202652
2;100000;4;1800;Поиск с применением автомата КМП;1120226
2;100000;4;1900;Наивный алгоритм;1320661
2;100000;4;1900;Алгоритм КМП с применением стандартных граней;2036178
2;100000;4;1900;Алгоритм КМП с применением уточненных граней;2159767
2;100000;4;1900;Поиск с применением автомата КМП;1205022
2;100000;4;2000;Наивный алгоритм;1177623
2;100000;4;2000;Алгоритм КМП с применением стандартных граней;2028335
2;100000;4;2000;Алгоритм КМП с применением уточненных граней;1966820
2;100000;4;2000;Поиск с применением автомата КМП;1203903
2;100000;4;2100;Наивный алгоритм;1235770
2;100000;4;2100;Алгоритм КМП с применением стандартных граней;2025313
2;100000;4;2100;Алгоритм КМП с применением уточненных граней;2019668
2;100000;4;2100;Поиск с применением автомата КМП;1166301
2;100000;4;2200;Наивный алгоритм;1275515
2;100000;4;2200;Алгоритм КМП с применением стандартных граней;1982554
2;100000;4;2200;Алгоритм КМП с применением уточненных граней;2084203
2;100000;4;2200;Поиск с применением автомата КМП;1200028
2;100000;4;2300;Наивный алгоритм;1324565
2;100000;4;2300;Алгоритм КМП с применением стандартных граней;2020964
2;100000;4;2300;Алгоритм КМП с применением уточненных граней;2036836
2;100000;4;2300;Поиск с применением автомата КМП;1196667
2;100000;4;2400;Наивный алгоритм;1309802
2;100000;4;2400;Алгоритм КМП с применением стандартных граней;1961908
2;100000;4;2400;Алгоритм КМП с применением уточненных граней;2117956
2;100000;4;2400;Поиск с применением автомата КМП;1122299
2;100000;4;2500;Наивный алгоритм;1269114
2;100000;4;2500;Алгоритм КМП с применением стандартных граней;2026817
2;100000;4;2500;Алгоритм КМП с применением уточненных граней;2070376
2;100000;4;2500;Поиск с применением автомата КМП;1109439
2;100000;4;2600;Наивный алгоритм;1379548
2;100000;4;2600;Алгоритм КМП с применением стандартных граней;2253125
2;100000;4;2600;Алгоритм КМП с применением уточненных граней;2067979
2;100000;4;2600;Поиск с применением автомата КМП;1205956
2;100000;4;2700;Наивный алгоритм;1180844
2;100000;4;2700;Алгоритм КМП с применением стандартных граней;2058164
2;100000;4;2700;Алгоритм КМП с применением уточненных граней;1994078
2;100000;4;2700;Поиск с применением автомата КМП;1225301
2;100000;4;2800;Наивный алгоритм;1417943
2;100000;4;2800;Алгоритм КМП с применением стандартных граней;1973638
2;100000;4;2800;Алгоритм КМП с применением уточненных граней;2014446
2;100000;4;2800;Поиск с применением автомата КМП;1239472
2;100000;4;2900;Наивный алгоритм;1435399
2;100000;4;2900;Алгоритм КМП с применением стандартных граней;2045404
2;100000;4;2900;Алгоритм КМП с применением уточненных граней;2027274
2;100000;4;2900;Поиск с применением автомата КМП;1212391
2;100000;4;3000;Наивный алгоритм;1213402
2;100000;4;3000;Алгоритм КМП с применением стандартных граней;2103479
2;100000;4;3000;Алгоритм КМП с применением уточненных граней;1985867
2;100000;4;3000;Поиск с применением автомата КМП;1246128
3;10000;2;100;Наивный алгоритм;220615
3;10000;2;100;Алгоритм КМП с применением стандартных граней;271118
3;10000;2;100;Алгоритм КМП с применением уточненных граней;251272
3;10000;2;100;Поиск с применением автомата КМП;142158
3;10000;2;200;Наивный алгоритм;251472
3;10000;2;200;Алгоритм КМП с применением стандартных граней;249384
3;10000;2;200;Алгоритм КМП с применением уточненных граней;245488
3;10000;2;200;Поиск с применением автомата КМП;138752
3;10000;2;300;Наивный алгоритм;333271
3;10000;2;300;Алгоритм КМП с применением стандартных граней;247854
3;10000;2;300;Алгоритм КМП с применением уточненных граней;245907
3;10000;2;300;Поиск с применением автомата КМП;163766
3;10000;2;400;Наивный алгоритм;223181
3;10000;2;400;Алгоритм КМП с применением стандартных граней;251274
3;10000;2;400;Алгоритм КМП с применением уточненных граней;248921
3;10000;2;400;Поиск с применением автомата КМП;145815
3;10000;2;500;Наивный алгоритм;223971
3;10000;2;500;Алгоритм КМП с применением стандартных граней;255074
3;10000;2;500;Алгоритм КМП с применением уточненных граней;352422
3;10000;2;500;Поиск с применением автомата КМП;148225
3;10000;2;600;Наивный алгоритм;232041
3;10000;2;600;Алгоритм КМП с применением стандартных граней;255295
3;10000;2;600;Алгоритм КМП с применением уточненных граней;248233
3;10000;2;600;Поиск с применением автомата КМП;151542
3;10000;2;700;Наивный алгоритм;228347
3;10000;2;700;Алгоритм КМП с применением стандартных граней;252291
3;10000;2;700;Алгоритм КМП с применением уточненных граней;245229
3;10000;2;700;Поиск с применением автомата КМП;155681
3;10000;2;800;Наивный алгоритм;328242
3;10000;2;800;Алгоритм КМП с применением стандартных граней;297601
3;10000;2;800;Алгоритм КМП с применением уточненных граней;252518
3;10000;2;800;Поиск с применением автомата КМП;163103
3;10000;2;900;Наивный алгоритм;222602
3;10000;2;900;Алгоритм КМП с применением стандартных граней;248593
3;10000;2;900;Алгоритм КМП с применением уточненных граней;245086
3;10000;2;900;Поиск с применением автомата КМП;266068
3;10000;2;1000;Наивный алгоритм;222759
3;10000;2;1000;Алгоритм КМП с применением стандартных граней;255761
3;10000;2;1000;Алгоритм КМП с применением уточненных граней;283270
3;10000;2;1000;Поиск с применением автомата КМП;165055
3;10000;2;1100;Наивный алгоритм;222318
3;10000;2;1100;Алгоритм КМП с применением стандартных граней;327358
3;10000;2;1100;Алгоритм КМП с применением уточненных граней;243658
3;10000;2;1100;Поиск с применением автомата КМП;169234
3;10000;2;1200;Наивный алгоритм;222564
3;10000;2;1200;Алгоритм КМП с применением стандартных граней;246803
3;10000;2;1200;Алгоритм КМП с применением уточненных граней;241503
3;10000;2;1200;Поиск с применением автомата КМП;168768
3;10000;2;1300;Наивный алгоритм;332467
3;10000;2;1300;Алгоритм КМП с применением стандартных граней;236788
3;10000;2;1300;Алгоритм КМП с применением уточненных граней;236839
3;10000;2;1300;Поиск с применением автомата КМП;180200
3;10000;2;1400;Наивный алгоритм;222370
3;10000;2;1400;Алгоритм КМП с применением стандартных граней;243701
3;10000;2;1400;Алгоритм КМП с применением уточненных граней;266411
3;10000;2;1400;Поиск с применением автомата КМП;217713
3;10000;2;1500;Наивный алгоритм;214934
3;10000;2;1500;Алгоритм КМП с применением стандартных граней;238104
3;10000;2;1500;Алгоритм КМП с применением уточненных граней;272028
3;10000;2;1500;Поиск с применением автомата КМП;182286
3;10000;2;1600;Наивный алгоритм;219395
3;10000;2;1600;Алгоритм КМП с применением стандартных граней;273999
3;10000;2;1600;Алгоритм КМП с применением уточненных граней;289455
3;10000;2;1600;Поиск с применением автомата КМП;186147
3;10000;2;1700;Наивный алгоритм;223820
3;10000;2;1700;Алгоритм КМП с применением стандартных граней;242925
3;10000;2;1700;Алгоритм КМП с применением уточненных граней;248443
3;10000;2;1700;Поиск с применением автомата КМП;188065
3;10000;2;1800;Наивный алгоритм;231818
3;10000;2;1800;Алгоритм КМП с применением стандартных граней;248673
3;10000;2;1800;Алгоритм КМП с применением уточненных граней;249335
3;10000;2;1800;Поиск с применением автомата КМП;201511
3;10000;2;1900;Наивный алгоритм;218002
3;10000;2;1900;Алгоритм КМП с применением стандартных граней;251467
3;10000;2;1900;Алгоритм КМП с применением уточненных граней;258389
3;10000;2;1900;Поиск с применением автомата КМП;294436
3;10000;2;2000;Наивный алгоритм;215454
3;10000;2;2000;Алгоритм КМП с применением стандартных граней;242661
3;10000;2;2000;Алгоритм КМП с применением уточненных граней;262291
3;10000;2;2000;Поиск с применением автомата КМП;202836
3;10000;2;2100;Наивный алгоритм;213501
3;10000;2;2100;Алгоритм КМП с применением стандартных граней;338950
3;10000;2;2100;Алгоритм КМП с применением уточненных граней;251537
3;10000;2;2100;Поиск с применением автомата КМП;203174
3;10000;2;2200;Наивный алгоритм;240817
3;10000;2;2200;Алгоритм КМП с применением стандартных граней;337664
3;10000;2;2200;Алгоритм КМП с применением уточненных граней;242301
3;10000;2;2200;Поиск с применением автомата КМП;286577
3;10000;2;2300;Наивный алгоритм;216148
3;10000;2;2300;Алгоритм КМП с применением стандартных граней;245194
3;10000;2;2300;Алгоритм КМП с применением уточненных граней;281349
3;10000;2;2300;Поиск с применением автомата КМП;211089
3;10000;2;2400;Наивный алгоритм;218366
3;10000;2;2400;Алгоритм КМП с применением стандартных граней;253742
3;10000;2;2400;Алгоритм КМП с применением уточненных граней;354968
3;10000;2;2400;Поиск с применением автомата КМП;219794
3;10000;2;2500;Наивный алгоритм;215713
3;10000;2;2500;Алгоритм КМП с применением стандартных граней;230852
3;10000;2;2500;Алгоритм КМП с применением уточненных граней;246285
3;10000;2;2500;Поиск с применением автомата КМП;216970
3;10000;2;2600;Наивный алгоритм;310899
3;10000;2;2600;Алгоритм КМП с применением стандартных граней;250807
3;10000;2;2600;Алгоритм КМП с применением уточненных граней;266685
3;10000;2;2600;Поиск с применением автомата КМП;223653
3;10000;2;2700;Наивный алгоритм;209070
3;10000;2;2700;Алгоритм КМП с применением стандартных граней;240901
3;10000;2;2700;Алгоритм КМП с применением уточненных граней;344437
3;10000;2;2700;Поиск с применением автомата КМП;236296
3;10000;2;2800;Наивный алгоритм;209415
3;10000;2;2800;Алгоритм КМП с применением стандартных граней;260910
3;10000;2;2800;Алгоритм КМП с применением уточненных граней;262693
3;10000;2;2800;Поиск с применением автомата КМП;226726
3;10000;2;2900;Наивный алгоритм;230281
3;10000;2;2900;Алгоритм КМП с применением стандартных граней;311186
3;10000;2;2900;Алгоритм КМП с применением уточненных граней;243380
3;10000;2;2900;Поиск с применением автомата КМП;242297
3;10000;2;3000;Наивный алгоритм;233346
3;10000;2;3000;Алгоритм КМП с применением стандартных граней;246324
3;10000;2;3000;Алгоритм КМП с применением уточненных граней;265885
3;10000;2;3000;Поиск с применением автомата КМП;319302
3;10000;4;100;Наивный алгоритм;100714
3;10000;4;100;Алгоритм КМП с применением стандартных граней;142892
3;10000;4;100;Алгоритм КМП с применением уточненных граней;144509
3;10000;4;100;Поиск с применением автомата КМП;121103
3;10000;4;200;Наивный алгоритм;153367
3;10000;4;200;Алгоритм КМП с применением стандартных граней;242139
3;10000;4;200;Алгоритм КМП с применением уточненных граней;240430
3;10000;4;200;Поиск с применением автомата КМП;144502
3;10000;4;300;Наивный алгоритм;181158
3;10000;4;300;Алгоритм КМП с применением стандартных граней;248025
3;10000;4;300;Алгоритм КМП с применением уточненных граней;234395
3;10000;4;300;Поиск с применением автомата КМП;142059
3;10000;4;400;Наивный алгоритм;159983
3;10000;4;400;Алгоритм КМП с применением стандартных граней;233128
3;10000;4;400;Алгоритм КМП с применением уточненных граней;235957
3;10000;4;400;Поиск с применением автомата КМП;145945
3;10000;4;500;Наивный алгоритм;249603
3;10000;4;500;Алгоритм КМП с применением стандартных граней;233198
3;10000;4;500;Алгоритм КМП с применением уточненных граней;231673
3;10000;4;500;Поиск с применением автомата КМП;178315
3;10000;4;600;Наивный алгоритм;191449
3;10000;4;600;Алгоритм КМП с применением стандартных граней;299602
3;10000;4;600;Алгоритм КМП с применением уточненных граней;399815
3;10000;4;600;Поиск с применением автомата КМП;184961
3;10000;4;700;Наивный алгоритм;182039
3;10000;4;700;Алгоритм КМП с применением стандартных граней;254355
3;10000;4;700;Алгоритм КМП с применением уточненных граней;242314
3;10000;4;700;Поиск с применением автомата КМП;157731
3;10000;4;800;Наивный алгоритм;140763
3;10000;4;800;Алгоритм КМП с применением стандартных граней;343711
3;10000;4;800;Алгоритм КМП с применением уточненных граней;227826
3;10000;4;800;Поиск с применением автомата КМП;162464
3;10000;4;900;Наивный алгоритм;141369
3;10000;4;900;Алгоритм КМП с применением стандартных граней;252898
3;10000;4;900;Алгоритм КМП с применением уточненных граней;225852
3;10000;4;900;Поиск с применением автомата КМП;164991
3;10000;4;1000;Наивный алгоритм;137908
3;10000;4;1000;Алгоритм КМП с применением стандартных граней;319250
3;10000;4;1000;Алгоритм КМП с применением уточненных граней;246241
3;10000;4;1000;Поиск с применением автомата КМП;178518
3;10000;4;1100;Наивный алгоритм;157862
3;10000;4;1100;Алгоритм КМП с применением стандартных граней;264465
3;10000;4;1100;Алгоритм КМП с применением уточненных граней;259495
3;10000;4;1100;Поиск с применением автомата КМП;186390
3;10000;4;1200;Наивный алгоритм;255135
3;10000;4;1200;Алгоритм КМП с применением стандартных граней;242456
3;10000;4;1200;Алгоритм КМП с применением уточненных граней;246032
3;10000;4;1200;Поиск с применением автомата КМП;179837
3;10000;4;1300;Наивный алгоритм;141964
3;10000;4;1300;Алгоритм КМП с применением стандартных граней;227001
3;10000;4;1300;Алгоритм КМП с применением уточненных граней;228806
3;10000;4;1300;Поиск с применением автомата КМП;278584
3;10000;4;1400;Наивный алгоритм;146770
3;10000;4;1400;Алгоритм КМП с применением стандартных граней;237556
3;10000;4;1400;Алгоритм КМП с применением уточненных граней;240274
3;10000;4;1400;Поиск с применением автомата КМП;185873
3;10000;4;1500;Наивный алгоритм;145190
3;10000;4;1500;Алгоритм КМП с применением стандартных граней;233272
3;10000;4;1500;Алгоритм КМП с применением уточненных граней;238509
3;10000;4;1500;Поиск с применением автомата КМП;289517
3;10000;4;1600;Наивный алгоритм;144855
3;10000;4;1600;Алгоритм КМП с применением стандартных граней;238719
3;10000;4;1600;Алгоритм КМП с применением уточненных граней;242327
3;10000;4;1600;Поиск с применением автомата КМП;188387
3;10000;4;1700;Наивный алгоритм;145541
3;10000;4;1700;Алгоритм КМП с применением стандартных граней;233915
3;10000;4;1700;Алгоритм КМП с применением уточненных граней;334233
3;10000;4;1700;Поиск с применением автомата КМП;193120
3;10000;4;1800;Наивный алгоритм;138030
3;10000;4;1800;Алгоритм КМП с применением стандартных граней;212251
3;10000;4;1800;Алгоритм КМП с применением уточненных граней;221829
3;10000;4;1800;Поиск с применением автомата КМП;226303
3;10000;4;1900;Наивный алгоритм;142487
3;10000;4;1900;Алгоритм КМП с применением стандартных граней;279117
3;10000;4;1900;Алгоритм КМП с применением уточненных граней;303532
3;10000;4;1900;Поиск с применением автомата КМП;200588
3;10000;4;2000;Наивный алгоритм;145845
3;10000;4;2000;Алгоритм КМП с применением стандартных граней;275586
3;10000;4;2000;Алгоритм КМП с применением уточненных граней;276787
3;10000;4;2000;Поиск с применением автомата КМП;232715
3;10000;4;2100;Наивный алгоритм;162039
3;10000;4;2100;Алгоритм КМП с применением стандартных граней;249639
3;10000;4;2100;Алгоритм КМП с применением уточненных граней;250732
3;10000;4;2100;Поиск с применением автомата КМП;245944
3;10000;4;2200;Наивный алгоритм;176624
3;10000;4;2200;Алгоритм КМП с применением стандартных граней;250077
3;10000;4;2200;Алгоритм КМП с применением уточненных граней;248547
3;10000;4;2200;Поиск с применением автомата КМП;243980
3;10000;4;2300;Наивный алгоритм;142250
3;10000;4;2300;Алгоритм КМП с применением стандартных граней;233241
3;10000;4;2300;Алгоритм КМП с применением уточненных граней;240780
3;10000;4;2300;Поиск с применением автомата КМП;225023
3;10000;4;2400;Наивный алгоритм;138016
3;10000;4;2400;Алгоритм КМП с применением стандартных граней;228818
3;10000;4;2400;Алгоритм КМП с применением уточненных граней;251302
3;10000;4;2400;Поиск с применением автомата КМП;304703
3;10000;4;2500;Наивный алгоритм;140850
3;10000;4;2500;Алгоритм КМП с применением стандартных граней;236831
3;10000;4;2500;Алгоритм КМП с применением уточненных граней;250023
3;10000;4;2500;Поиск с применением автомата КМП;229008
3;10000;4;2600;Наивный алгоритм;129945
3;10000;4;2600;Алгоритм КМП с применением стандартных граней;213053
3;10000;4;2600;Алгоритм КМП с применением уточненных граней;303441
3;10000;4;2600;Поиск с применением автомата КМП;285678
3;10000;4;2700;Наивный алгоритм;152756
3;10000;4;2700;Алгоритм КМП с применением стандартных граней;269135
3;10000;4;2700;Алгоритм КМП с применением уточненных граней;253245
