Number of substitution;Size of text;Size of alphabet;Size of pattern;Type of algorithm;Time(ns)
0;10000;4;2100;Алгоритм КМП с применением стандартных граней;55066
0;10000;4;2100;Алгоритм КМП с применением уточненных граней;61487
0;10000;4;2100;Поиск с применением автомата КМП;118793
0;10000;4;2200;Наивный алгоритм;31765
0;10000;4;2200;Алгоритм КМП с применением стандартных граней;53737
0;10000;4;2200;Алгоритм КМП с применением уточненных граней;61879
0;10000;4;2200;Поиск с применением автомата КМП;189071
0;10000;4;2300;Наивный алгоритм;31858
0;10000;4;2300;Алгоритм КМП с применением стандартных граней;53405
0;10000;4;2300;Алгоритм КМП с применением уточненных граней;57538
0;10000;4;2300;Поиск с применением автомата КМП;133917
0;10000;4;2400;Наивный алгоритм;29347
0;10000;4;2400;Алгоритм КМП с применением стандартных граней;53941
0;10000;4;2400;Алгоритм КМП с применением уточненных граней;62411
0;10000;4;2400;Поиск с применением автомата КМП;133496
0;10000;4;2500;Наивный алгоритм;27038
0;10000;4;2500;Алгоритм КМП с применением стандартных граней;45307
0;10000;4;2500;Алгоритм КМП с применением уточненных граней;100577
0;10000;4;2500;Поиск с применением автомата КМП;200064
0;10000;4;2600;Наивный алгоритм;28017
0;10000;4;2600;Алгоритм КМП с применением стандартных граней;47574
0;10000;4;2600;Алгоритм КМП с применением уточненных граней;55981
0;10000;4;2600;Поиск с применением автомата КМП;148349
0;10000;4;2700;Наивный алгоритм;27748
0;10000;4;2700;Алгоритм КМП с применением стандартных граней;50876
0;10000;4;2700;Алгоритм КМП с применением уточненных граней;60362
0;10000;4;2700;Поиск с применением автомата КМП;180130
0;10000;4;2800;Наивный алгоритм;33916
0;10000;4;2800;Алгоритм КМП с применением стандартных граней;46310
0;10000;4;2800;Алгоритм КМП с применением уточненных граней;51450
0;10000;4;2800;Поиск с применением автомата КМП;156270
0;10000;4;2900;Наивный алгоритм;27341
0;10000;4;2900;Алгоритм КМП с применением стандартных граней;48652
0;10000;4;2900;Алгоритм КМП с применением уточненных граней;60775
0;10000;4;2900;Поиск с применением автомата КМП;163163
0;10000;4;3000;Наивный алгоритм;26896
0;10000;4;3000;Алгоритм КМП с применением стандартных граней;47225
0;10000;4;3000;Алгоритм КМП с применением уточненных граней;76481
0;10000;4;3000;Поиск с применением автомата КМП;269302
0;100000;2;100;Наивный алгоритм;680666
0;100000;2;100;Алгоритм КМП с применением стандартных граней;683323
0;100000;2;100;Алгоритм КМП с применением уточненных граней;694006
0;100000;2;100;Поиск с применением автомата КМП;411156
0;100000;2;200;Наивный алгоритм;666396
0;100000;2;200;Алгоритм КМП с применением стандартных граней;815545
0;100000;2;200;Алгоритм КМП с применением уточненных граней;771435
0;100000;2;200;Поиск с применением автомата КМП;410327
0;100000;2;300;Наивный алгоритм;601293
0;100000;2;300;Алгоритм КМП с применением стандартных граней;778012
0;100000;2;300;Алгоритм КМП с применением уточненных граней;715335
0;100000;2;300;Поиск с применением автомата КМП;422273
0;100000;2;400;Наивный алгоритм;607954
0;100000;2;400;Алгоритм КМП с применением стандартных граней;639987
0;100000;2;400;Алгоритм КМП с применением уточненных граней;669089
0;100000;2;400;Поиск с применением автомата КМП;397233
0;100000;2;500;Наивный алгоритм;623156
0;100000;2;500;Алгоритм КМП с применением стандартных граней;769950
0;100000;2;500;Алгоритм КМП с применением уточненных граней;761356
0;100000;2;500;Поиск с применением автомата КМП;449198
0;100000;2;600;Наивный алгоритм;645247
0;100000;2;600;Алгоритм КМП с применением стандартных граней;696889
0;100000;2;600;Алгоритм КМП с применением уточненных граней;669379
0;100000;2;600;Поиск с применением автомата КМП;395954
0;100000;2;700;Наивный алгоритм;655212
0;100000;2;700;Алгоритм КМП с применением стандартных граней;640912
0;100000;2;700;Алгоритм КМП с применением уточненных граней;631427
0;100000;2;700;Поиск с применением автомата КМП;409767
0;100000;2;800;Наивный алгоритм;627172
0;100000;2;800;Алгоритм КМП с применением стандартных граней;697816
0;100000;2;800;Алгоритм КМП с применением уточненных граней;638407
0;100000;2;800;Поиск с применением автомата КМП;401180
0;100000;2;900;Наивный алгоритм;667921
0;100000;2;900;Алгоритм КМП с применением стандартных граней;848101
0;100000;2;900;Алгоритм КМП с применением уточненных граней;816801
0;100000;2;900;Поиск с применением автомата КМП;438171
0;100000;2;1000;Наивный алгоритм;619484
0;100000;2;1000;Алгоритм КМП с применением стандартных граней;721388
0;100000;2;1000;Алгоритм КМП с применением уточненных граней;678917
0;100000;2;1000;Поиск с применением автомата КМП;435403
0;100000;2;1100;Наивный алгоритм;593607
0;100000;2;1100;Алгоритм КМП с применением стандартных граней;687789
0;100000;2;1100;Алгоритм КМП с применением уточненных граней;711126
0;100000;2;1100;Поиск с применением автомата КМП;518615
0;100000;2;1200;Наивный алгоритм;737145
0;100000;2;1200;Алгоритм КМП с применением стандартных граней;749394
0;100000;2;1200;Алгоритм КМП с применением уточненных граней;746033
0;100000;2;1200;Поиск с применением автомата КМП;459889
0;100000;2;1300;Наивный алгоритм;708589
0;100000;2;1300;Алгоритм КМП с применением стандартных граней;729018
0;100000;2;1300;Алгоритм КМП с применением уточненных граней;760863
0;100000;2;1300;Поиск с применением автомата КМП;456090
0;100000;2;1400;Наивный алгоритм;642105
0;100000;2;1400;Алгоритм КМП с применением стандартных граней;659306
0;100000;2;1400;Алгоритм КМП с применением уточненных граней;607617
0;100000;2;1400;Поиск с применением автомата КМП;465170
0;100000;2;1500;Наивный алгоритм;610654
0;100000;2;1500;Алгоритм КМП с применением стандартных граней;692439
0;100000;2;1500;Алгоритм КМП с применением уточненных граней;769500
0;100000;2;1500;Поиск с применением автомата КМП;459268
0;100000;2;1600;Наивный алгоритм;624480
0;100000;2;1600;Алгоритм КМП с применением стандартных граней;844015
0;100000;2;1600;Алгоритм КМП с применением уточненных граней;967274
0;100000;2;1600;Поиск с применением автомата КМП;510438
0;100000;2;1700;Наивный алгоритм;724522
0;100000;2;1700;Алгоритм КМП с применением стандартных граней;872625
0;100000;2;1700;Алгоритм КМП с применением уточненных граней;876045
0;100000;2;1700;Поиск с применением автомата КМП;469847
0;100000;2;1800;Наивный алгоритм;1063244
0;100000;2;1800;Алгоритм КМП с применением стандартных граней;801721
0;100000;2;1800;Алгоритм КМП с применением уточненных граней;765250
0;100000;2;1800;Поиск с применением автомата КМП;659515
0;100000;2;1900;Наивный алгоритм;2342299
0;100000;2;1900;Алгоритм КМП с применением стандартных граней;1275247
0;100000;2;1900;Алгоритм КМП с применением уточненных граней;751761
0;100000;2;1900;Поиск с применением автомата КМП;483203
0;100000;2;2000;Наивный алгоритм;641391
0;100000;2;2000;Алгоритм КМП с применением стандартных граней;855599
0;100000;2;2000;Алгоритм КМП с применением уточненных граней;867316
0;100000;2;2000;Поиск с применением автомата КМП;498341
0;100000;2;2100;Наивный алгоритм;728439
0;100000;2;2100;Алгоритм КМП с применением стандартных граней;832725
0;100000;2;2100;Алгоритм КМП с применением уточненных граней;802230
0;100000;2;2100;Поиск с применением автомата КМП;556136
0;100000;2;2200;Наивный алгоритм;708225
0;100000;2;2200;Алгоритм КМП с применением стандартных граней;774803
0;100000;2;2200;Алгоритм КМП с применением уточненных граней;787416
0;100000;2;2200;Поиск с применением автомата КМП;465029
0;100000;2;2300;Наивный алгоритм;635548
0;100000;2;2300;Алгоритм КМП с применением стандартных граней;788624
0;100000;2;2300;Алгоритм КМП с применением уточненных граней;746858
0;100000;2;2300;Поиск с применением автомата КМП;488433
0;100000;2;2400;Наивный алгоритм;610876
0;100000;2;2400;Алгоритм КМП с применением стандартных граней;704582
0;100000;2;2400;Алгоритм КМП с применением уточненных граней;684813
0;100000;2;2400;Поиск с применением автомата КМП;465332
0;100000;2;2500;Наивный алгоритм;703948
0;100000;2;2500;Алгоритм КМП с применением стандартных граней;759340
0;100000;2;2500;Алгоритм КМП с применением уточненных граней;760977
0;100000;2;2500;Поиск с применением автомата КМП;476895
0;100000;2;2600;Наивный алгоритм;591664
0;100000;2;2600;Алгоритм КМП с применением стандартных граней;719253
0;100000;2;2600;Алгоритм КМП с применением уточненных граней;685838
0;100000;2;2600;Поиск с применением автомата КМП;516286
0;100000;2;2700;Наивный алгоритм;599470
0;100000;2;2700;Алгоритм КМП с применением стандартных граней;814171
0;100000;2;2700;Алгоритм КМП с применением уточненных граней;752592
0;100000;2;2700;Поиск с применением автомата КМП;498898
0;100000;2;2800;Наивный алгоритм;684193
0;100000;2;2800;Алгоритм КМП с применением стандартных граней;670719
0;100000;2;2800;Алгоритм КМП с применением уточненных граней;740729
0;100000;2;2800;Поиск с применением автомата КМП;475449
0;100000;2;2900;Наивный алгоритм;654865
0;100000;2;2900;Алгоритм КМП с применением стандартных граней;717586
0;100000;2;2900;Алгоритм КМП с применением уточненных граней;693386
0;100000;2;2900;Поиск с применением автомата КМП;519049
0;100000;2;3000;Наивный алгоритм;603268
0;100000;2;3000;Алгоритм КМП с применением стандартных граней;764786
0;100000;2;3000;Алгоритм КМП с применением уточненных граней;795835
0;100000;2;3000;Поиск с применением автомата КМП;495756
0;100000;4;100;Наивный алгоритм;508922
0;100000;4;100;Алгоритм КМП с применением стандартных граней;708946
0;100000;4;100;Алгоритм КМП с применением уточненных граней;773884
0;100000;4;100;Поиск с применением автомата КМП;389382
0;100000;4;200;Наивный алгоритм;445292
0;100000;4;200;Алгоритм КМП с применением стандартных граней;595431
0;100000;4;200;Алгоритм КМП с применением уточненных граней;691132
