type; algorithm; size; operations
рандом от 0 до 5;700;588392;
рандом от 0 до 5;700;1223250;
рандом от 0 до 5;700;1473992;
рандом от 0 до 5;700;2200320;
рандом от 0 до 5;700;13327;
рандом от 0 до 5;700;103172;
рандом от 0 до 5;700;497604;
рандом от 0 до 5;700;87863;
рандом от 0 до 5;700;95253;
рандом от 0 до 5;700;10132;
рандом от 0 до 5;700;736890;
рандом от 0 до 5;700;26891;
рандом от 0 до 5;700;31522;
рандом от 0 до 5;800;782366;
рандом от 0 до 5;800;1598000;
рандом от 0 до 5;800;1913123;
рандом от 0 до 5;800;2872478;
рандом от 0 до 5;800;15227;
рандом от 0 до 5;800;118884;
рандом от 0 до 5;800;661114;
рандом от 0 до 5;800;101967;
рандом от 0 до 5;800;126163;
рандом от 0 до 5;800;11432;
рандом от 0 до 5;800;962182;
рандом от 0 до 5;800;31402;
рандом от 0 до 5;800;38330;
рандом от 0 до 5;900;1000678;
рандом от 0 до 5;900;2022750;
рандом от 0 до 5;900;2409157;
рандом от 0 до 5;900;3643016;
рандом от 0 до 5;900;17127;
рандом от 0 до 5;900;135238;
рандом от 0 до 5;900;842864;
рандом от 0 до 5;900;116043;
рандом от 0 до 5;900;152595;
рандом от 0 до 5;900;12732;
рандом от 0 до 5;900;1217505;
рандом от 0 до 5;900;36530;
рандом от 0 до 5;900;42062;
рандом от 0 до 5;1000;1259130;
рандом от 0 до 5;1000;2497500;
рандом от 0 до 5;1000;2967598;
рандом от 0 до 5;1000;4501687;
рандом от 0 до 5;1000;19027;
рандом от 0 до 5;1000;150540;
рандом от 0 до 5;1000;1058909;
рандом от 0 до 5;1000;130220;
рандом от 0 до 5;1000;184283;
рандом от 0 до 5;1000;14032;
рандом от 0 до 5;1000;1502756;
рандом от 0 до 5;1000;41270;
рандом от 0 до 5;1000;46369;
рандом от 0 до 5;1100;1536511;
рандом от 0 до 5;1100;3022250;
рандом от 0 до 5;1100;3571530;
рандом от 0 до 5;1100;5476961;
рандом от 0 до 5;1100;20927;
рандом от 0 до 5;1100;169004;
рандом от 0 до 5;1100;1306099;
рандом от 0 до 5;1100;145209;
рандом от 0 до 5;1100;226289;
рандом от 0 до 5;1100;15332;
рандом от 0 до 5;1100;1818082;
рандом от 0 до 5;1100;45810;
рандом от 0 до 5;1100;57323;
рандом от 0 до 5;1200;1812439;
рандом от 0 до 5;1200;3597000;
рандом от 0 до 5;1200;4260540;
рандом от 0 до 5;1200;6478927;
