type; size; time
рандом от 0 до 5;200;64043;
рандом от 0 до 5;200;25458;
рандом от 0 до 5;200;39868;
рандом от 0 до 5;200;6461;
рандом от 0 до 5;200;123994;
рандом от 0 до 5;200;21509;
рандом от 0 до 5;200;19450;
рандом от 0 до 5;300;223243;
рандом от 0 до 5;300;739653;
рандом от 0 до 5;300;621794;
рандом от 0 до 5;300;753891;
рандом от 0 до 5;300;24830;
рандом от 0 до 5;300;70782;
рандом от 0 до 5;300;216190;
рандом от 0 до 5;300;60985;
рандом от 0 до 5;300;71454;
рандом от 0 до 5;300;11123;
рандом от 0 до 5;300;348435;
рандом от 0 до 5;300;26915;
рандом от 0 до 5;300;32209;
рандом от 0 до 5;400;280877;
рандом от 0 до 5;400;996653;
рандом от 0 до 5;400;1291446;
рандом от 0 до 5;400;1699175;
рандом от 0 до 5;400;28073;
рандом от 0 до 5;400;124868;
рандом от 0 до 5;400;543185;
рандом от 0 до 5;400;79545;
рандом от 0 до 5;400;97336;
рандом от 0 до 5;400;17636;
рандом от 0 до 5;400;655730;
рандом от 0 до 5;400;38019;
рандом от 0 до 5;400;53280;
рандом от 0 до 5;500;520695;
рандом от 0 до 5;500;1365577;
рандом от 0 до 5;500;1267273;
рандом от 0 до 5;500;1586836;
рандом от 0 до 5;500;17525;
рандом от 0 до 5;500;82905;
рандом от 0 до 5;500;395742;
рандом от 0 до 5;500;59191;
рандом от 0 до 5;500;82321;
рандом от 0 до 5;500;9174;
рандом от 0 до 5;500;563942;
рандом от 0 до 5;500;34167;
рандом от 0 до 5;500;38895;
рандом от 0 до 5;600;350268;
рандом от 0 до 5;600;1824212;
рандом от 0 до 5;600;1743372;
рандом от 0 до 5;600;2058389;
рандом от 0 до 5;600;25414;
рандом от 0 до 5;600;106990;
рандом от 0 до 5;600;394313;
рандом от 0 до 5;600;71126;
рандом от 0 до 5;600;111521;
рандом от 0 до 5;600;12765;
рандом от 0 до 5;600;762347;
рандом от 0 до 5;600;64337;
рандом от 0 до 5;600;92061;
рандом от 0 до 5;700;891219;
рандом от 0 до 5;700;8531619;
рандом от 0 до 5;700;2716382;
рандом от 0 до 5;700;2759977;
рандом от 0 до 5;700;26714;
рандом от 0 до 5;700;133426;
рандом от 0 до 5;700;522499;
рандом от 0 до 5;700;87514;
рандом от 0 до 5;700;216298;
рандом от 0 до 5;700;13580;
рандом от 0 до 5;700;1070412;
рандом от 0 до 5;700;56246;
рандом от 0 до 5;700;65425;
рандом от 0 до 5;800;831257;
рандом от 0 до 5;800;4367114;
рандом от 0 до 5;800;4678266;
рандом от 0 до 5;800;5114994;
рандом от 0 до 5;800;33045;
рандом от 0 до 5;800;157872;
рандом от 0 до 5;800;804422;
рандом от 0 до 5;800;153755;
рандом от 0 до 5;800;334477;
рандом от 0 до 5;800;32928;
рандом от 0 до 5;800;2427783;
рандом от 0 до 5;800;106158;
рандом от 0 до 5;800;117524;
