type;number of algorithm;size;time;
обратно отсортирован_1;10;250;306512;
обратно отсортирован_1;11;250;25913;
обратно отсортирован_1;12;250;33766;
обратно отсортирован_1;0;300;994026;
обратно отсортирован_1;1;300;838567;
обратно отсортирован_1;2;300;2317;
обратно отсортирован_1;3;300;1319926;
обратно отсортирован_1;4;300;32406;
обратно отсортирован_1;5;300;97239;
обратно отсортирован_1;6;300;767562;
обратно отсортирован_1;7;300;150058;
обратно отсортирован_1;8;300;888152;
обратно отсортирован_1;9;300;25800;
обратно отсортирован_1;10;300;904553;
обратно отсортирован_1;11;300;29809;
обратно отсортирован_1;12;300;40127;
рандом от 0 до 5_2;0;100;38666;
рандом от 0 до 5_2;1;100;88330;
рандом от 0 до 5_2;2;100;96857;
рандом от 0 до 5_2;3;100;123021;
рандом от 0 до 5_2;4;100;12233;
рандом от 0 до 5_2;5;100;25741;
рандом от 0 до 5_2;6;100;31482;
рандом от 0 до 5_2;7;100;22606;
рандом от 0 до 5_2;8;100;16903;
рандом от 0 до 5_2;9;100;6064;
рандом от 0 до 5_2;10;100;62737;
рандом от 0 до 5_2;11;100;9576;
рандом от 0 до 5_2;12;100;15529;
рандом от 0 до 5_2;0;200;110891;
рандом от 0 до 5_2;1;200;566402;
рандом от 0 до 5_2;2;200;494035;
рандом от 0 до 5_2;3;200;452398;
рандом от 0 до 5_2;4;200;20121;
рандом от 0 до 5_2;5;200;55856;
рандом от 0 до 5_2;6;200;117854;
рандом от 0 до 5_2;7;200;44052;
рандом от 0 до 5_2;8;200;38512;
рандом от 0 до 5_2;9;200;9463;
рандом от 0 до 5_2;10;200;194631;
рандом от 0 до 5_2;11;200;20037;
рандом от 0 до 5_2;12;200;23632;
рандом от 0 до 5_2;0;300;232990;
рандом от 0 до 5_2;1;300;1185833;
рандом от 0 до 5_2;2;300;1550600;
рандом от 0 до 5_2;3;300;897274;
рандом от 0 до 5_2;4;300;17311;
рандом от 0 до 5_2;5;300;63287;
рандом от 0 до 5_2;6;300;141309;
рандом от 0 до 5_2;7;300;49208;
рандом от 0 до 5_2;8;300;50285;
рандом от 0 до 5_2;9;300;8938;
рандом от 0 до 5_2;10;300;672347;
рандом от 0 до 5_2;11;300;36670;
рандом от 0 до 5_2;12;300;46024;
рандом от 0 до 5_2;0;400;430299;
рандом от 0 до 5_2;1;400;3146192;
рандом от 0 до 5_2;2;400;1929841;
рандом от 0 до 5_2;3;400;2385247;
рандом от 0 до 5_2;4;400;37310;
рандом от 0 до 5_2;5;400;900761;
рандом от 0 до 5_2;6;400;445491;
рандом от 0 до 5_2;7;400;97439;
рандом от 0 до 5_2;8;400;123859;
рандом от 0 до 5_2;9;400;18654;
рандом от 0 до 5_2;10;400;1015214;
рандом от 0 до 5_2;11;400;61932;
рандом от 0 до 5_2;12;400;77866;
рандом от 0 до 5_2;0;500;696644;
рандом от 0 до 5_2;1;500;3542604;
рандом от 0 до 5_2;2;500;3920112;
рандом от 0 до 5_2;3;500;3928469;
рандом от 0 до 5_2;4;500;50737;
рандом от 0 до 5_2;5;500;196928;
рандом от 0 до 5_2;6;500;1391817;
рандом от 0 до 5_2;7;500;119810;
рандом от 0 до 5_2;8;500;187234;
рандом от 0 до 5_2;9;500;22541;
рандом от 0 до 5_2;10;500;2060578;
рандом от 0 до 5_2;11;500;67119;
рандом от 0 до 5_2;12;500;79591;
рандом от 0 до 5_2;0;600;1319446;
рандом от 0 до 5_2;1;600;2728519;
рандом от 0 до 5_2;2;600;2908904;
рандом от 0 до 5_2;3;600;3464567;
рандом от 0 до 5_2;4;600;61896;
рандом от 0 до 5_2;5;600;242223;
рандом от 0 до 5_2;6;600;718700;
рандом от 0 до 5_2;7;600;92031;
рандом от 0 до 5_2;8;600;139486;
рандом от 0 до 5_2;9;600;13734;
рандом от 0 до 5_2;10;600;1246141;
рандом от 0 до 5_2;11;600;59058;
рандом от 0 до 5_2;12;600;90142;
рандом от 0 до 5_2;0;700;1864486;
рандом от 0 до 5_2;1;700;5065417;
рандом от 0 до 5_2;2;700;5561076;
рандом от 0 до 5_2;3;700;5352136;
рандом от 0 до 5_2;4;700;51083;
рандом от 0 до 5_2;5;700;267271;
рандом от 0 до 5_2;6;700;1200253;
рандом от 0 до 5_2;7;700;157690;
рандом от 0 до 5_2;8;700;325367;
рандом от 0 до 5_2;9;700;21792;
рандом от 0 до 5_2;10;700;2681068;
рандом от 0 до 5_2;11;700;118733;
рандом от 0 до 5_2;12;700;148998;
рандом от 0 до 5_2;0;800;1663229;
рандом от 0 до 5_2;1;800;9080250;
рандом от 0 до 5_2;2;800;8120771;
рандом от 0 до 5_2;3;800;8820354;
рандом от 0 до 5_2;4;800;53882;
рандом от 0 до 5_2;5;800;332521;
рандом от 0 до 5_2;6;800;1427693;
рандом от 0 до 5_2;7;800;145162;
рандом от 0 до 5_2;8;800;253758;
рандом от 0 до 5_2;9;800;42446;
рандом от 0 до 5_2;10;800;2441596;
рандом от 0 до 5_2;11;800;107833;
рандом от 0 до 5_2;12;800;161749;
рандом от 0 до 5_2;0;900;1634377;
рандом от 0 до 5_2;1;900;8341689;
рандом от 0 до 5_2;2;900;6619372;
рандом от 0 до 5_2;3;900;7071219;
рандом от 0 до 5_2;4;900;90128;
рандом от 0 до 5_2;5;900;526433;
рандом от 0 до 5_2;6;900;3620771;
рандом от 0 до 5_2;7;900;231426;
рандом от 0 до 5_2;8;900;1314154;
рандом от 0 до 5_2;9;900;39004;
рандом от 0 до 5_2;10;900;5863584;
рандом от 0 до 5_2;11;900;131426;
рандом от 0 до 5_2;12;900;172535;
рандом от 0 до 5_2;0;1000;3205621;
рандом от 0 до 5_2;1;1000;16943547;
рандом от 0 до 5_2;2;1000;21910267;
рандом от 0 до 5_2;3;1000;27690768;
рандом от 0 до 5_2;4;1000;95663;
рандом от 0 до 5_2;5;1000;1397283;
рандом от 0 до 5_2;6;1000;4210161;
рандом от 0 до 5_2;7;1000;270474;
рандом от 0 до 5_2;8;1000;1188772;
рандом от 0 до 5_2;9;1000;58703;
рандом от 0 до 5_2;10;1000;4830761;
рандом от 0 до 5_2;11;1000;119459;
рандом от 0 до 5_2;12;1000;134534;
рандом от 0 до 5_2;0;1100;2629996;
рандом от 0 до 5_2;1;1100;12253851;
рандом от 0 до 5_2;2;1100;12493790;
рандом от 0 до 5_2;3;1100;13609510;
рандом от 0 до 5_2;4;1100;68731;
рандом от 0 до 5_2;5;1100;467104;
рандом от 0 до 5_2;6;1100;4359509;
рандом от 0 до 5_2;7;1100;321831;
рандом от 0 до 5_2;8;1100;738374;
рандом от 0 до 5_2;9;1100;51614;
рандом от 0 до 5_2;10;1100;11048522;
рандом от 0 до 5_2;11;1100;180371;
рандом от 0 до 5_2;12;1100;210010;
рандом от 0 до 5_2;0;1200;4293034;
рандом от 0 до 5_2;1;1200;18685193;
рандом от 0 до 5_2;2;1200;17640957;
рандом от 0 до 5_2;3;1200;21021002;
рандом от 0 до 5_2;4;1200;245983;
рандом от 0 до 5_2;5;1200;559965;
рандом от 0 до 5_2;6;1200;6621824;
рандом от 0 до 5_2;7;1200;379389;
рандом от 0 до 5_2;8;1200;1771556;
рандом от 0 до 5_2;9;1200;58145;
рандом от 0 до 5_2;10;1200;12110306;
рандом от 0 до 5_2;11;1200;346180;
рандом от 0 до 5_2;12;1200;419136;
рандом от 0 до 5_2;0;1300;7367281;
рандом от 0 до 5_2;1;1300;36424507;
рандом от 0 до 5_2;2;1300;29418777;
рандом от 0 до 5_2;3;1300;28888804;
рандом от 0 до 5_2;4;1300;178067;
рандом от 0 до 5_2;5;1300;928782;
рандом от 0 до 5_2;6;1300;6781551;
рандом от 0 до 5_2;7;1300;496434;
рандом от 0 до 5_2;8;1300;1568400;
рандом от 0 до 5_2;9;1300;74104;
рандом от 0 до 5_2;10;1300;9787215;
рандом от 0 до 5_2;11;1300;233004;
рандом от 0 до 5_2;12;1300;750878;
рандом от 0 до 5_2;0;1400;6759492;
рандом от 0 до 5_2;1;1400;28397677;
рандом от 0 до 5_2;2;1400;17394375;
рандом от 0 до 5_2;3;1400;20903499;
рандом от 0 до 5_2;4;1400;133153;
