type;number of algorithm;size;operations;
рандом от 0 до 5_2;11;1000;40902;
рандом от 0 до 5_2;12;1000;45982;
рандом от 0 до 5_2;0;1100;1522444;
рандом от 0 до 5_2;1;1100;3022250;
рандом от 0 до 5_2;2;1100;3650103;
рандом от 0 до 5_2;3;1100;5448151;
рандом от 0 до 5_2;4;1100;20927;
рандом от 0 до 5_2;5;1100;169471;
рандом от 0 до 5_2;6;1100;1236169;
рандом от 0 до 5_2;7;1100;145168;
рандом от 0 до 5_2;8;1100;223269;
рандом от 0 до 5_2;9;1100;15328;
рандом от 0 до 5_2;10;1100;1818067;
рандом от 0 до 5_2;11;1100;45410;
рандом от 0 до 5_2;12;1100;55835;
рандом от 0 до 5_2;0;1200;1843392;
рандом от 0 до 5_2;1;1200;3597000;
рандом от 0 до 5_2;2;1200;4323458;
рандом от 0 до 5_2;3;1200;6464161;
рандом от 0 до 5_2;4;1200;22827;
рандом от 0 до 5_2;5;1200;188585;
рандом от 0 до 5_2;6;1200;1497139;
рандом от 0 до 5_2;7;1200;160508;
рандом от 0 до 5_2;8;1200;263497;
рандом от 0 до 5_2;9;1200;16628;
рандом от 0 до 5_2;10;1200;2163334;
рандом от 0 до 5_2;11;1200;50522;
рандом от 0 до 5_2;12;1200;62522;
рандом от 0 до 5_2;0;1300;2165859;
рандом от 0 до 5_2;1;1300;4221750;
рандом от 0 до 5_2;2;1300;5076103;
рандом от 0 до 5_2;3;1300;7620989;
рандом от 0 до 5_2;4;1300;24727;
рандом от 0 до 5_2;5;1300;206852;
рандом от 0 до 5_2;6;1300;1754079;
рандом от 0 до 5_2;7;1300;175710;
рандом от 0 до 5_2;8;1300;309177;
рандом от 0 до 5_2;9;1300;17928;
рандом от 0 до 5_2;10;1300;2538620;
рандом от 0 до 5_2;11;1300;55190;
рандом от 0 до 5_2;12;1300;67184;
рандом от 0 до 5_2;0;1400;2508029;
рандом от 0 до 5_2;1;1400;4896500;
рандом от 0 до 5_2;2;1400;5884878;
рандом от 0 до 5_2;3;1400;8842144;
рандом от 0 до 5_2;4;1400;26627;
рандом от 0 до 5_2;5;1400;224538;
рандом от 0 до 5_2;6;1400;2025184;
рандом от 0 до 5_2;7;1400;190995;
рандом от 0 до 5_2;8;1400;356651;
рандом от 0 до 5_2;9;1400;19228;
рандом от 0 до 5_2;10;1400;2943909;
рандом от 0 до 5_2;11;1400;60038;
рандом от 0 до 5_2;12;1400;71790;
рандом от 0 до 5_2;0;1500;2880961;
рандом от 0 до 5_2;1;1500;5621250;
рандом от 0 до 5_2;2;1500;6764123;
рандом от 0 до 5_2;3;1500;10097906;
рандом от 0 до 5_2;4;1500;28527;
рандом от 0 до 5_2;5;1500;242826;
рандом от 0 до 5_2;6;1500;2321234;
рандом от 0 до 5_2;7;1500;206218;
рандом от 0 до 5_2;8;1500;403023;
рандом от 0 до 5_2;9;1500;20528;
рандом от 0 до 5_2;10;1500;3379183;
рандом от 0 до 5_2;11;1500;64702;
рандом от 0 до 5_2;12;1500;76100;
рандом от 0 до 5_2;0;1600;3286484;
рандом от 0 до 5_2;1;1600;6396000;
рандом от 0 до 5_2;2;1600;7689618;
рандом от 0 до 5_2;3;1600;11534671;
рандом от 0 до 5_2;4;1600;30427;
рандом от 0 до 5_2;5;1600;261060;
рандом от 0 до 5_2;6;1600;2649349;
рандом от 0 до 5_2;7;1600;221423;
рандом от 0 до 5_2;8;1600;455223;
рандом от 0 до 5_2;9;1600;21828;
рандом от 0 до 5_2;10;1600;3844437;
рандом от 0 до 5_2;11;1600;69226;
рандом от 0 до 5_2;12;1600;87678;
рандом от 0 до 5_2;0;1700;3721671;
рандом от 0 до 5_2;1;1700;7220750;
рандом от 0 до 5_2;2;1700;8671235;
рандом от 0 до 5_2;3;1700;13037502;
рандом от 0 до 5_2;4;1700;32327;
рандом от 0 до 5_2;5;1700;279177;
рандом от 0 до 5_2;6;1700;2995354;
рандом от 0 до 5_2;7;1700;236677;
рандом от 0 до 5_2;8;1700;522927;
рандом от 0 до 5_2;9;1700;23128;
рандом от 0 до 5_2;10;1700;4339675;
рандом от 0 до 5_2;11;1700;73958;
рандом от 0 до 5_2;12;1700;87958;
рандом от 0 до 5_2;0;1800;4173098;
рандом от 0 до 5_2;1;1800;8095500;
рандом от 0 до 5_2;2;1800;9727338;
рандом от 0 до 5_2;3;1800;14552728;
рандом от 0 до 5_2;4;1800;34227;
рандом от 0 до 5_2;5;1800;297333;
рандом от 0 до 5_2;6;1800;3353904;
рандом от 0 до 5_2;7;1800;252066;
рандом от 0 до 5_2;8;1800;570897;
рандом от 0 до 5_2;9;1800;24428;
рандом от 0 до 5_2;10;1800;4864933;
рандом от 0 до 5_2;11;1800;78850;
рандом от 0 до 5_2;12;1800;93941;
рандом от 0 до 5_2;0;1900;4649037;
рандом от 0 до 5_2;1;1900;9020250;
рандом от 0 до 5_2;2;1900;10837362;
рандом от 0 до 5_2;3;1900;16263294;
рандом от 0 до 5_2;4;1900;36127;
рандом от 0 до 5_2;5;1900;315426;
рандом от 0 до 5_2;6;1900;3733074;
рандом от 0 до 5_2;7;1900;267254;
рандом от 0 до 5_2;8;1900;634995;
рандом от 0 до 5_2;9;1900;25728;
рандом от 0 до 5_2;10;1900;5420188;
рандом от 0 до 5_2;11;1900;83886;
рандом от 0 до 5_2;12;1900;96842;
рандом от 0 до 5_2;0;2000;5191879;
рандом от 0 до 5_2;1;2000;9995000;
рандом от 0 до 5_2;2;2000;11968863;
рандом от 0 до 5_2;3;2000;18084950;
рандом от 0 до 5_2;4;2000;38027;
рандом от 0 до 5_2;5;2000;335274;
рандом от 0 до 5_2;6;2000;4178254;
рандом от 0 до 5_2;7;2000;282544;
рандом от 0 до 5_2;8;2000;702549;
рандом от 0 до 5_2;9;2000;27028;
рандом от 0 до 5_2;10;2000;6005504;
рандом от 0 до 5_2;11;2000;89054;
рандом от 0 до 5_2;12;2000;104058;
рандом от 0 до 5_2;0;2100;5724579;
рандом от 0 до 5_2;1;2100;11019750;
рандом от 0 до 5_2;2;2100;13205818;
рандом от 0 до 5_2;3;2100;19926917;
рандом от 0 до 5_2;4;2100;39927;
рандом от 0 до 5_2;5;2100;352806;
рандом от 0 до 5_2;6;2100;4599799;
рандом от 0 до 5_2;7;2100;298296;
рандом от 0 до 5_2;8;2100;773987;
рандом от 0 до 5_2;9;2100;28328;
рандом от 0 до 5_2;10;2100;6620786;
рандом от 0 до 5_2;11;2100;94118;
рандом от 0 до 5_2;12;2100;118040;
рандом от 0 до 5_2;0;2200;6293045;
рандом от 0 до 5_2;1;2200;12094500;
рандом от 0 до 5_2;2;2200;14473003;
рандом от 0 до 5_2;3;2200;21901021;
рандом от 0 до 5_2;4;2200;41827;
рандом от 0 до 5_2;5;2200;371194;
рандом от 0 до 5_2;6;2200;5055579;
рандом от 0 до 5_2;7;2200;314740;
рандом от 0 до 5_2;8;2200;850297;
рандом от 0 до 5_2;9;2200;29628;
рандом от 0 до 5_2;10;2200;7266079;
рандом от 0 до 5_2;11;2200;98754;
рандом от 0 до 5_2;12;2200;124408;
рандом от 0 до 5_2;0;2300;6869307;
рандом от 0 до 5_2;1;2300;13219250;
рандом от 0 до 5_2;2;2300;15847867;
рандом от 0 до 5_2;3;2300;23931678;
рандом от 0 до 5_2;4;2300;43727;
рандом от 0 до 5_2;5;2300;392159;
рандом от 0 до 5_2;6;2300;5506874;
рандом от 0 до 5_2;7;2300;331143;
рандом от 0 до 5_2;8;2300;933771;
рандом от 0 до 5_2;9;2300;30928;
рандом от 0 до 5_2;10;2300;7941332;
рандом от 0 до 5_2;11;2300;103298;
рандом от 0 до 5_2;12;2300;128100;
рандом от 0 до 5_2;0;2400;7508319;
рандом от 0 до 5_2;1;2400;14394000;
рандом от 0 до 5_2;2;2400;17210808;
рандом от 0 до 5_2;3;2400;26033723;
рандом от 0 до 5_2;4;2400;45627;
рандом от 0 до 5_2;5;2400;409549;
рандом от 0 до 5_2;6;2400;6029789;
рандом от 0 до 5_2;7;2400;347660;
рандом от 0 до 5_2;8;2400;1008375;
рандом от 0 до 5_2;9;2400;32228;
рандом от 0 до 5_2;10;2400;8646690;
рандом от 0 до 5_2;11;2400;107962;
рандом от 0 до 5_2;12;2400;139478;
рандом от 0 до 5_2;0;2500;8145037;
рандом от 0 до 5_2;1;2500;15618750;
рандом от 0 до 5_2;2;2500;18666210;
рандом от 0 до 5_2;3;2500;28264573;
рандом от 0 до 5_2;4;2500;47527;
рандом от 0 до 5_2;5;2500;431619;
рандом от 0 до 5_2;6;2500;6528979;
рандом от 0 до 5_2;7;2500;363816;
рандом от 0 до 5_2;8;2500;1086659;
рандом от 0 до 5_2;9;2500;33528;
рандом от 0 до 5_2;10;2500;9381928;
рандом от 0 до 5_2;11;2500;113034;
рандом от 0 до 5_2;12;2500;142389;
рандом от 0 до 5_2;0;2600;8765869;
рандом от 0 до 5_2;1;2600;16893500;
рандом от 0 до 5_2;2;2600;20256330;
рандом от 0 до 5_2;3;2600;30484249;
рандом от 0 до 5_2;4;2600;49427;
рандом от 0 до 5_2;5;2600;452446;
рандом от 0 до 5_2;6;2600;7014139;
рандом от 0 до 5_2;7;2600;380306;
рандом от 0 до 5_2;8;2600;1180643;
рандом от 0 до 5_2;9;2600;34828;
рандом от 0 до 5_2;10;2600;10147198;
рандом от 0 до 5_2;11;2600;118270;
рандом от 0 до 5_2;12;2600;147159;
рандом от 0 до 5_2;0;2700;9499302;
рандом от 0 до 5_2;1;2700;18218250;
рандом от 0 до 5_2;2;2700;21780597;
рандом от 0 до 5_2;3;2700;32957294;
рандом от 0 до 5_2;4;2700;51327;
рандом от 0 до 5_2;5;2700;470797;
рандом от 0 до 5_2;6;2700;7618134;
рандом от 0 до 5_2;7;2700;396516;
рандом от 0 до 5_2;8;2700;1269557;
рандом от 0 до 5_2;9;2700;36128;
рандом от 0 до 5_2;10;2700;10942498;
рандом от 0 до 5_2;11;2700;123338;
