Number of substitution;Size of text;Size_of_alphabet;Size of pattern;Type of algorithm;Time(ns)
0;10000;4;2200;Наивный алгоритм;164171
0;10000;4;2200;Алгоритм КМП с применением стандартных граней;235900
0;10000;4;2200;Алгоритм КМП с применением уточненных граней;274700
0;10000;4;2300;Наивный алгоритм;156258
0;10000;4;2300;Алгоритм КМП с применением стандартных граней;230433
0;10000;4;2300;Алгоритм КМП с применением уточненных граней;312188
0;10000;4;2400;Наивный алгоритм;210860
0;10000;4;2400;Алгоритм КМП с применением стандартных граней;390597
0;10000;4;2400;Алгоритм КМП с применением уточненных граней;337631
0;10000;4;2500;Наивный алгоритм;195847
0;10000;4;2500;Алгоритм КМП с применением стандартных граней;305120
0;10000;4;2500;Алгоритм КМП с применением уточненных граней;327329
0;10000;4;2600;Наивный алгоритм;203524
0;10000;4;2600;Алгоритм КМП с применением стандартных граней;301247
0;10000;4;2600;Алгоритм КМП с применением уточненных граней;333141
0;10000;4;2700;Наивный алгоритм;194040
0;10000;4;2700;Алгоритм КМП с применением стандартных граней;306199
0;10000;4;2700;Алгоритм КМП с применением уточненных граней;399919
0;10000;4;2800;Наивный алгоритм;225624
0;10000;4;2800;Алгоритм КМП с применением стандартных граней;372320
0;10000;4;2800;Алгоритм КМП с применением уточненных граней;423714
0;10000;4;2900;Наивный алгоритм;202072
0;10000;4;2900;Алгоритм КМП с применением стандартных граней;303451
0;10000;4;2900;Алгоритм КМП с применением уточненных граней;364494
0;10000;4;3000;Наивный алгоритм;191454
0;10000;4;3000;Алгоритм КМП с применением стандартных граней;309748
0;10000;4;3000;Алгоритм КМП с применением уточненных граней;336794
0;100000;2;100;Наивный алгоритм;3265951
0;100000;2;100;Алгоритм КМП с применением стандартных граней;2426577
0;100000;2;100;Алгоритм КМП с применением уточненных граней;3090407
0;100000;2;200;Наивный алгоритм;3005834
0;100000;2;200;Алгоритм КМП с применением стандартных граней;2621346
0;100000;2;200;Алгоритм КМП с применением уточненных граней;3441099
0;100000;2;300;Наивный алгоритм;2816100
0;100000;2;300;Алгоритм КМП с применением стандартных граней;2236562
0;100000;2;300;Алгоритм КМП с применением уточненных граней;2476494
0;100000;2;400;Наивный алгоритм;2953139
0;100000;2;400;Алгоритм КМП с применением стандартных граней;2641991
0;100000;2;400;Алгоритм КМП с применением уточненных граней;3524465
0;100000;2;500;Наивный алгоритм;3771490
0;100000;2;500;Алгоритм КМП с применением стандартных граней;3414037
0;100000;2;500;Алгоритм КМП с применением уточненных граней;3282620
0;100000;2;600;Наивный алгоритм;4480304
0;100000;2;600;Алгоритм КМП с применением стандартных граней;2658446
0;100000;2;600;Алгоритм КМП с применением уточненных граней;2479459
0;100000;2;700;Наивный алгоритм;2656725
